codec, description, code
identity,           ,                         0x00
sha1,               ,                         0x11
sha2-256,           ,                         0x12
sha2-512,           ,                         0x13
dbl-sha2-256,       ,                         0x56
sha3-224,           ,                         0x17
sha3-256,           ,                         0x16
sha3-384,           ,                         0x15
sha3-512,           ,                         0x14
shake-128,          ,                         0x18
shake-256,          ,                         0x19
keccak-224,         ,                         0x1A
keccak-256,         ,                         0x1B
keccak-384,         ,                         0x1C
keccak-512,         ,                         0x1D
murmur3-128,        ,                         0x22
murmur3-32,         ,                         0x23
,, Note: keccak has variable output length. The number specifies the core length
blake2b-8,Blake2b consists of 64 output lengths that give different hashes,0xb201
blake2b-16,,0xb202
blake2b-24,,0xb203
blake2b-32,,0xb204
blake2b-40,,0xb205
blake2b-48,,0xb206
blake2b-56,,0xb207
blake2b-64,,0xb208
blake2b-72,,0xb209
blake2b-80,,0xb20a
blake2b-88,,0xb20b
blake2b-96,,0xb20c
blake2b-104,,0xb20d
blake2b-112,,0xb20e
blake2b-120,,0xb20f
blake2b-128,,0xb210
blake2b-136,,0xb211
blake2b-144,,0xb212
blake2b-152,,0xb213
blake2b-160,,0xb214
blake2b-168,,0xb215
blake2b-176,,0xb216
blake2b-184,,0xb217
blake2b-192,,0xb218
blake2b-200,,0xb219
blake2b-208,,0xb21a
blake2b-216,,0xb21b
blake2b-224,,0xb21c
blake2b-232,,0xb21d
blake2b-240,,0xb21e
blake2b-248,,0xb21f
blake2b-256,,0xb220
blake2b-264,,0xb221
blake2b-272,,0xb222
blake2b-280,,0xb223
blake2b-288,,0xb224
blake2b-296,,0xb225
blake2b-304,,0xb226
blake2b-312,,0xb227
blake2b-320,,0xb228
blake2b-328,,0xb229
blake2b-336,,0xb22a
blake2b-344,,0xb22b
blake2b-352,,0xb22c
blake2b-360,,0xb22d
blake2b-368,,0xb22e
blake2b-376,,0xb22f
blake2b-384,,0xb230
blake2b-392,,0xb231
blake2b-400,,0xb232
blake2b-408,,0xb233
blake2b-416,,0xb234
blake2b-424,,0xb235
blake2b-432,,0xb236
blake2b-440,,0xb237
blake2b-448,,0xb238
blake2b-456,,0xb239
blake2b-464,,0xb23a
blake2b-472,,0xb23b
blake2b-480,,0xb23c
blake2b-488,,0xb23d
blake2b-496,,0xb23e
blake2b-504,,0xb23f
blake2b-512,,0xb240
blake2s-8,Blake2s consists of 32 output lengths that give different hashes,0xb241
blake2s-16,,0xb242
blake2s-24,,0xb243
blake2s-32,,0xb244
blake2s-40,,0xb245
blake2s-48,,0xb246
blake2s-56,,0xb247
blake2s-64,,0xb248
blake2s-72,,0xb249
blake2s-80,,0xb24a
blake2s-88,,0xb24b
blake2s-96,,0xb24c
blake2s-104,,0xb24d
blake2s-112,,0xb24e
blake2s-120,,0xb24f
blake2s-128,,0xb250
blake2s-136,,0xb251
blake2s-144,,0xb252
blake2s-152,,0xb253
blake2s-160,,0xb254
blake2s-168,,0xb255
blake2s-176,,0xb256
blake2s-184,,0xb257
blake2s-192,,0xb258
blake2s-200,,0xb259
blake2s-208,,0xb25a
blake2s-216,,0xb25b
blake2s-224,,0xb25c
blake2s-232,,0xb25d
blake2s-240,,0xb25e
blake2s-248,,0xb25f
blake2s-256,,0xb260
Skein256-8,Skein256 consists of 32 output lengths that give different hashes,0xb301
Skein256-16,,0xb302
Skein256-24,,0xb303
Skein256-32,,0xb304
Skein256-40,,0xb305
Skein256-48,,0xb306
Skein256-56,,0xb307
Skein256-64,,0xb308
Skein256-72,,0xb309
Skein256-80,,0xb30a
Skein256-88,,0xb30b
Skein256-96,,0xb30c
Skein256-104,,0xb30d
Skein256-112,,0xb30e
Skein256-120,,0xb30f
Skein256-128,,0xb310
Skein256-136,,0xb311
Skein256-144,,0xb312
Skein256-152,,0xb313
Skein256-160,,0xb314
Skein256-168,,0xb315
Skein256-176,,0xb316
Skein256-184,,0xb317
Skein256-192,,0xb318
Skein256-200,,0xb319
Skein256-208,,0xb31a
Skein256-216,,0xb31b
Skein256-224,,0xb31c
Skein256-232,,0xb31d
Skein256-240,,0xb31e
Skein256-248,,0xb31f
Skein256-256,,0xb320
Skein512-8,Skein512 consists of 64 output lengths that give different hashes,0xb321
Skein512-16,,0xb322
Skein512-24,,0xb323
Skein512-32,,0xb324
Skein512-40,,0xb325
Skein512-48,,0xb326
Skein512-56,,0xb327
Skein512-64,,0xb328
Skein512-72,,0xb329
Skein512-80,,0xb32a
Skein512-88,,0xb32b
Skein512-96,,0xb32c
Skein512-104,,0xb32d
Skein512-112,,0xb32e
Skein512-120,,0xb32f
Skein512-128,,0xb330
Skein512-136,,0xb331
Skein512-144,,0xb332
Skein512-152,,0xb333
Skein512-160,,0xb334
Skein512-168,,0xb335
Skein512-176,,0xb336
Skein512-184,,0xb337
Skein512-192,,0xb338
Skein512-200,,0xb339
Skein512-208,,0xb33a
Skein512-216,,0xb33b
Skein512-224,,0xb33c
Skein512-232,,0xb33d
Skein512-240,,0xb33e
Skein512-248,,0xb33f
Skein512-256,,0xb340
Skein512-264,,0xb341
Skein512-272,,0xb342
Skein512-280,,0xb343
Skein512-288,,0xb344
Skein512-296,,0xb345
Skein512-304,,0xb346
Skein512-312,,0xb347
Skein512-320,,0xb348
Skein512-328,,0xb349
Skein512-336,,0xb34a
Skein512-344,,0xb34b
Skein512-352,,0xb34c
Skein512-360,,0xb34d
Skein512-368,,0xb34e
Skein512-376,,0xb34f
Skein512-384,,0xb350
Skein512-392,,0xb351
Skein512-400,,0xb352
Skein512-408,,0xb353
Skein512-416,,0xb354
Skein512-424,,0xb355
Skein512-432,,0xb356
Skein512-440,,0xb357
Skein512-448,,0xb358
Skein512-456,,0xb359
Skein512-464,,0xb35a
Skein512-472,,0xb35b
Skein512-480,,0xb35c
Skein512-488,,0xb35d
Skein512-496,,0xb35e
Skein512-504,,0xb35f
Skein512-512,,0xb360
Skein1024-8,Skein1024 consists of 128 output lengths that give different hashes,0xb361
Skein1024-16,,0xb362
Skein1024-24,,0xb363
Skein1024-32,,0xb364
Skein1024-40,,0xb365
Skein1024-48,,0xb366
Skein1024-56,,0xb367
Skein1024-64,,0xb368
Skein1024-72,,0xb369
Skein1024-80,,0xb36a
Skein1024-88,,0xb36b
Skein1024-96,,0xb36c
Skein1024-104,,0xb36d
Skein1024-112,,0xb36e
Skein1024-120,,0xb36f
Skein1024-128,,0xb370
Skein1024-136,,0xb371
Skein1024-144,,0xb372
Skein1024-152,,0xb373
Skein1024-160,,0xb374
Skein1024-168,,0xb375
Skein1024-176,,0xb376
Skein1024-184,,0xb377
Skein1024-192,,0xb378
Skein1024-200,,0xb379
Skein1024-208,,0xb37a
Skein1024-216,,0xb37b
Skein1024-224,,0xb37c
Skein1024-232,,0xb37d
Skein1024-240,,0xb37e
Skein1024-248,,0xb37f
Skein1024-256,,0xb380
Skein1024-264,,0xb381
Skein1024-272,,0xb382
Skein1024-280,,0xb383
Skein1024-288,,0xb384
Skein1024-296,,0xb385
Skein1024-304,,0xb386
Skein1024-312,,0xb387
Skein1024-320,,0xb388
Skein1024-328,,0xb389
Skein1024-336,,0xb38a
Skein1024-344,,0xb38b
Skein1024-352,,0xb38c
Skein1024-360,,0xb38d
Skein1024-368,,0xb38e
Skein1024-376,,0xb38f
Skein1024-384,,0xb390
Skein1024-392,,0xb391
Skein1024-400,,0xb392
Skein1024-408,,0xb393
Skein1024-416,,0xb394
Skein1024-424,,0xb395
Skein1024-432,,0xb396
Skein1024-440,,0xb397
Skein1024-448,,0xb398
Skein1024-456,,0xb399
Skein1024-464,,0xb39a
Skein1024-472,,0xb39b
Skein1024-480,,0xb39c
Skein1024-488,,0xb39d
Skein1024-496,,0xb39e
Skein1024-504,,0xb39f
Skein1024-512,,0xb3a0
Skein1024-520,,0xb3a1
Skein1024-528,,0xb3a2
Skein1024-536,,0xb3a3
Skein1024-544,,0xb3a4
Skein1024-552,,0xb3a5
Skein1024-560,,0xb3a6
Skein1024-568,,0xb3a7
Skein1024-576,,0xb3a8
Skein1024-584,,0xb3a9
Skein1024-592,,0xb3aa
Skein1024-600,,0xb3ab
Skein1024-608,,0xb3ac
Skein1024-616,,0xb3ad
Skein1024-624,,0xb3ae
Skein1024-632,,0xb3af
Skein1024-640,,0xb3b0
Skein1024-648,,0xb3b1
Skein1024-656,,0xb3b2
Skein1024-664,,0xb3b3
Skein1024-672,,0xb3b4
Skein1024-680,,0xb3b5
Skein1024-688,,0xb3b6
Skein1024-696,,0xb3b7
Skein1024-704,,0xb3b8
Skein1024-712,,0xb3b9
Skein1024-720,,0xb3ba
Skein1024-728,,0xb3bb
Skein1024-736,,0xb3bc
Skein1024-744,,0xb3bd
Skein1024-752,,0xb3be
Skein1024-760,,0xb3bf
Skein1024-768,,0xb3c0
Skein1024-776,,0xb3c1
Skein1024-784,,0xb3c2
Skein1024-792,,0xb3c3
Skein1024-800,,0xb3c4
Skein1024-808,,0xb3c5
Skein1024-816,,0xb3c6
Skein1024-824,,0xb3c7
Skein1024-832,,0xb3c8
Skein1024-840,,0xb3c9
Skein1024-848,,0xb3ca
Skein1024-856,,0xb3cb
Skein1024-864,,0xb3cc
Skein1024-872,,0xb3cd
Skein1024-880,,0xb3ce
Skein1024-888,,0xb3cf
Skein1024-896,,0xb3d0
Skein1024-904,,0xb3d1
Skein1024-912,,0xb3d2
Skein1024-920,,0xb3d3
Skein1024-928,,0xb3d4
Skein1024-936,,0xb3d5
Skein1024-944,,0xb3d6
Skein1024-952,,0xb3d7
Skein1024-960,,0xb3d8
Skein1024-968,,0xb3d9
Skein1024-976,,0xb3da
Skein1024-984,,0xb3db
Skein1024-992,,0xb3dc
Skein1024-1000,,0xb3dd
Skein1024-1008,,0xb3de
Skein1024-1016,,0xb3df
Skein1024-1024,,0xb3e0
